sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
555,0.120 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3021757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3119,7,1C 03 DB 01 00 8D 04 
556,0.120 884 680,"SysTick","ISR Exit","Returns to Idle",3022117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3126,3,03 E8 02 
557,0.121 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3045814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3129,5,02 0F 91 B9 01 
558,0.121 849 280,"SysTick","xTaskIncrementTick","",3046232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3134,5,DB 01 00 A2 03 
559,0.121 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3046757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3139,7,1C 03 DB 01 00 8D 04 
560,0.121 884 680,"SysTick","ISR Exit","Returns to Idle",3047117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3146,3,03 E8 02 
561,0.122 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3070814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3149,5,02 0F 91 B9 01 
562,0.122 849 280,"SysTick","xTaskIncrementTick","",3071232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3154,5,DB 01 00 A2 03 
563,0.122 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3071757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3159,7,1C 03 DB 01 00 8D 04 
564,0.122 884 680,"SysTick","ISR Exit","Returns to Idle",3072117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3166,3,03 E8 02 
565,0.123 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3095814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3169,5,02 0F 91 B9 01 
566,0.123 849 280,"SysTick","xTaskIncrementTick","",3096232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3174,5,DB 01 00 A2 03 
567,0.123 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3096757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3179,7,1C 03 DB 01 00 8D 04 
568,0.123 884 680,"SysTick","ISR Exit","Returns to Idle",3097117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3186,3,03 E8 02 
569,0.124 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3120814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3189,5,02 0F 91 B9 01 
570,0.124 849 280,"SysTick","xTaskIncrementTick","",3121232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3194,5,DB 01 00 A2 03 
571,0.124 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3121757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3199,7,1C 03 DB 01 00 8D 04 
572,0.124 884 680,"SysTick","ISR Exit","Returns to Idle",3122117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3206,3,03 E8 02 
573,0.125 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3145814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3209,5,02 0F 91 B9 01 
574,0.125 849 280,"SysTick","xTaskIncrementTick","",3146232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3214,5,DB 01 00 A2 03 
575,0.125 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3146757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3219,7,1C 03 DB 01 00 8D 04 
576,0.125 884 680,"SysTick","ISR Exit","Returns to Idle",3147117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3226,3,03 E8 02 
577,0.126 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3170814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3229,5,02 0F 91 B9 01 
578,0.126 849 280,"SysTick","xTaskIncrementTick","",3171232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3234,5,DB 01 00 A2 03 
579,0.126 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3171757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3239,7,1C 03 DB 01 00 8D 04 
580,0.126 884 680,"SysTick","ISR Exit","Returns to Idle",3172117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3246,3,03 E8 02 
581,0.127 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3195814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3249,5,02 0F 91 B9 01 
582,0.127 849 280,"SysTick","xTaskIncrementTick","",3196232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3254,5,DB 01 00 A2 03 
583,0.127 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3196757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3259,7,1C 03 DB 01 00 8D 04 
584,0.127 884 680,"SysTick","ISR Exit","Returns to Idle",3197117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3266,3,03 E8 02 
585,0.128 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3220814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3269,5,02 0F 91 B9 01 
586,0.128 849 280,"SysTick","xTaskIncrementTick","",3221232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3274,5,DB 01 00 A2 03 
587,0.128 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3221757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3279,7,1C 03 DB 01 00 8D 04 
588,0.128 884 680,"SysTick","ISR Exit","Returns to Idle",3222117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3286,3,03 E8 02 
589,0.129 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3245814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3289,5,02 0F 91 B9 01 
590,0.129 849 280,"SysTick","xTaskIncrementTick","",3246232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3294,5,DB 01 00 A2 03 
591,0.129 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3246757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3299,7,1C 03 DB 01 00 8D 04 
592,0.129 884 680,"SysTick","ISR Exit","Returns to Idle",3247117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3306,3,03 E8 02 
593,0.130 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3270814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3309,5,02 0F 91 B9 01 
594,0.130 849 280,"SysTick","xTaskIncrementTick","",3271232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3314,5,DB 01 00 A2 03 
595,0.130 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3271757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3319,7,1C 03 DB 01 00 8D 04 
596,0.130 884 680,"SysTick","ISR Exit","Returns to Idle",3272117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3326,3,03 E8 02 
597,0.131 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3295814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3329,5,02 0F 91 B9 01 
598,0.131 849 280,"SysTick","xTaskIncrementTick","",3296232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3334,5,DB 01 00 A2 03 
599,0.131 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3296757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3339,7,1C 03 DB 01 00 8D 04 
600,0.131 884 680,"SysTick","ISR Exit","Returns to Idle",3297117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3346,3,03 E8 02 
601,0.132 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3320814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3349,5,02 0F 91 B9 01 
602,0.132 849 280,"SysTick","xTaskIncrementTick","",3321232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3354,5,DB 01 00 A2 03 
603,0.132 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3321757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3359,7,1C 03 DB 01 00 8D 04 
604,0.132 884 680,"SysTick","ISR Exit","Returns to Idle",3322117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3366,3,03 E8 02 
605,0.133 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3345814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3369,5,02 0F 91 B9 01 
606,0.133 849 280,"SysTick","xTaskIncrementTick","",3346232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3374,5,DB 01 00 A2 03 
607,0.133 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3346757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3379,7,1C 03 DB 01 00 8D 04 
608,0.133 884 680,"SysTick","ISR Exit","Returns to Idle",3347117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3386,3,03 E8 02 
609,0.134 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3370814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3389,5,02 0F 91 B9 01 
610,0.134 849 280,"SysTick","xTaskIncrementTick","",3371232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3394,5,DB 01 00 A2 03 
611,0.134 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3371757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3399,7,1C 03 DB 01 00 8D 04 
612,0.134 884 680,"SysTick","ISR Exit","Returns to Idle",3372117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3406,3,03 E8 02 
613,0.135 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3395814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3409,5,02 0F 91 B9 01 
614,0.135 849 280,"SysTick","xTaskIncrementTick","",3396232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3414,5,DB 01 00 A2 03 
615,0.135 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3396757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3419,7,1C 03 DB 01 00 8D 04 
616,0.135 884 680,"SysTick","ISR Exit","Returns to Idle",3397117,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3426,3,03 E8 02 
617,0.136 832 560,"SysTick","ISR Enter","Runs for 52.120 us",3420814,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3429,5,02 0F 91 B9 01 
618,0.136 849 280,"SysTick","xTaskIncrementTick","",3421232,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,3434,5,DB 01 00 A2 03 
619,0.136 870 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",3421757,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,3439,7,1C 03 DB 01 00 8D 04 
