sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
58,0.001 309 160,"Idle","System Idle","Idle for 98.605 ms",32729,0x00000008100017F8,0x0000001000000000,0x0000001000000000,17,568,3,11 A4 04 
59,0.001 832 520,"SysTick","ISR Enter","Runs for 50.880 us",45813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,571,4,02 0F 9C 66 
60,0.001 848 000,"SysTick","xTaskIncrementTick","",46200,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,575,5,DB 01 00 83 03 
61,0.001 869 000,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",46725,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,580,7,1C 03 DB 01 00 8D 04 
62,0.001 883 400,"SysTick","ISR Exit","Returns to Idle",47085,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,587,3,03 E8 02 
63,0.002 832 520,"SysTick","ISR Enter","Runs for 52.120 us",70813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,590,5,02 0F B0 B9 01 
64,0.002 849 240,"SysTick","xTaskIncrementTick","",71231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,595,5,DB 01 00 A2 03 
65,0.002 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",71756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,600,7,1C 03 DB 01 00 8D 04 
66,0.002 884 640,"SysTick","ISR Exit","Returns to Idle",72116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,607,3,03 E8 02 
67,0.003 832 520,"SysTick","ISR Enter","Runs for 52.120 us",95813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,610,5,02 0F 91 B9 01 
68,0.003 849 240,"SysTick","xTaskIncrementTick","",96231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,615,5,DB 01 00 A2 03 
69,0.003 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",96756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,620,7,1C 03 DB 01 00 8D 04 
70,0.003 884 640,"SysTick","ISR Exit","Returns to Idle",97116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,627,3,03 E8 02 
71,0.004 832 520,"SysTick","ISR Enter","Runs for 52.120 us",120813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,630,5,02 0F 91 B9 01 
72,0.004 849 240,"SysTick","xTaskIncrementTick","",121231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,635,5,DB 01 00 A2 03 
73,0.004 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",121756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,640,7,1C 03 DB 01 00 8D 04 
74,0.004 884 640,"SysTick","ISR Exit","Returns to Idle",122116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,647,3,03 E8 02 
75,0.005 832 520,"SysTick","ISR Enter","Runs for 52.120 us",145813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,650,5,02 0F 91 B9 01 
76,0.005 849 240,"SysTick","xTaskIncrementTick","",146231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,655,5,DB 01 00 A2 03 
77,0.005 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",146756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,660,7,1C 03 DB 01 00 8D 04 
78,0.005 884 640,"SysTick","ISR Exit","Returns to Idle",147116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,667,3,03 E8 02 
79,0.006 832 520,"SysTick","ISR Enter","Runs for 52.120 us",170813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,670,5,02 0F 91 B9 01 
80,0.006 849 240,"SysTick","xTaskIncrementTick","",171231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,675,5,DB 01 00 A2 03 
81,0.006 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",171756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,680,7,1C 03 DB 01 00 8D 04 
82,0.006 884 640,"SysTick","ISR Exit","Returns to Idle",172116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,687,3,03 E8 02 
83,0.007 832 520,"SysTick","ISR Enter","Runs for 52.120 us",195813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,690,5,02 0F 91 B9 01 
84,0.007 849 240,"SysTick","xTaskIncrementTick","",196231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,695,5,DB 01 00 A2 03 
85,0.007 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",196756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,700,7,1C 03 DB 01 00 8D 04 
86,0.007 884 640,"SysTick","ISR Exit","Returns to Idle",197116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,707,3,03 E8 02 
87,0.008 832 520,"SysTick","ISR Enter","Runs for 52.120 us",220813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,710,5,02 0F 91 B9 01 
88,0.008 849 240,"SysTick","xTaskIncrementTick","",221231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,715,5,DB 01 00 A2 03 
89,0.008 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",221756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,720,7,1C 03 DB 01 00 8D 04 
90,0.008 884 640,"SysTick","ISR Exit","Returns to Idle",222116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,727,3,03 E8 02 
91,0.009 832 520,"SysTick","ISR Enter","Runs for 52.120 us",245813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,730,5,02 0F 91 B9 01 
92,0.009 849 240,"SysTick","xTaskIncrementTick","",246231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,735,5,DB 01 00 A2 03 
93,0.009 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",246756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,740,7,1C 03 DB 01 00 8D 04 
94,0.009 884 640,"SysTick","ISR Exit","Returns to Idle",247116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,747,3,03 E8 02 
95,0.010 832 520,"SysTick","ISR Enter","Runs for 52.120 us",270813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,750,5,02 0F 91 B9 01 
96,0.010 849 240,"SysTick","xTaskIncrementTick","",271231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,755,5,DB 01 00 A2 03 
97,0.010 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",271756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,760,7,1C 03 DB 01 00 8D 04 
98,0.010 884 640,"SysTick","ISR Exit","Returns to Idle",272116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,767,3,03 E8 02 
99,0.011 832 520,"SysTick","ISR Enter","Runs for 52.120 us",295813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,770,5,02 0F 91 B9 01 
100,0.011 849 240,"SysTick","xTaskIncrementTick","",296231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,775,5,DB 01 00 A2 03 
101,0.011 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",296756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,780,7,1C 03 DB 01 00 8D 04 
102,0.011 884 640,"SysTick","ISR Exit","Returns to Idle",297116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,787,3,03 E8 02 
103,0.012 832 520,"SysTick","ISR Enter","Runs for 52.120 us",320813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,790,5,02 0F 91 B9 01 
104,0.012 849 240,"SysTick","xTaskIncrementTick","",321231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,795,5,DB 01 00 A2 03 
105,0.012 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",321756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,800,7,1C 03 DB 01 00 8D 04 
106,0.012 884 640,"SysTick","ISR Exit","Returns to Idle",322116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,807,3,03 E8 02 
107,0.013 832 520,"SysTick","ISR Enter","Runs for 52.120 us",345813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,810,5,02 0F 91 B9 01 
108,0.013 849 240,"SysTick","xTaskIncrementTick","",346231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,815,5,DB 01 00 A2 03 
109,0.013 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",346756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,820,7,1C 03 DB 01 00 8D 04 
110,0.013 884 640,"SysTick","ISR Exit","Returns to Idle",347116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,827,3,03 E8 02 
111,0.014 832 520,"SysTick","ISR Enter","Runs for 52.120 us",370813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,830,5,02 0F 91 B9 01 
112,0.014 849 240,"SysTick","xTaskIncrementTick","",371231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,835,5,DB 01 00 A2 03 
113,0.014 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",371756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,840,7,1C 03 DB 01 00 8D 04 
114,0.014 884 640,"SysTick","ISR Exit","Returns to Idle",372116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,847,3,03 E8 02 
115,0.015 832 520,"SysTick","ISR Enter","Runs for 52.120 us",395813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,850,5,02 0F 91 B9 01 
116,0.015 849 240,"SysTick","xTaskIncrementTick","",396231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,855,5,DB 01 00 A2 03 
117,0.015 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",396756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,860,7,1C 03 DB 01 00 8D 04 
118,0.015 884 640,"SysTick","ISR Exit","Returns to Idle",397116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,867,3,03 E8 02 
119,0.016 832 520,"SysTick","ISR Enter","Runs for 52.120 us",420813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,870,5,02 0F 91 B9 01 
120,0.016 849 240,"SysTick","xTaskIncrementTick","",421231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,875,5,DB 01 00 A2 03 
121,0.016 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",421756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,880,7,1C 03 DB 01 00 8D 04 
122,0.016 884 640,"SysTick","ISR Exit","Returns to Idle",422116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,887,3,03 E8 02 
123,0.017 832 520,"SysTick","ISR Enter","Runs for 52.120 us",445813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,890,5,02 0F 91 B9 01 
124,0.017 849 240,"SysTick","xTaskIncrementTick","",446231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,895,5,DB 01 00 A2 03 
125,0.017 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",446756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,900,7,1C 03 DB 01 00 8D 04 
126,0.017 884 640,"SysTick","ISR Exit","Returns to Idle",447116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,907,3,03 E8 02 
127,0.018 832 520,"SysTick","ISR Enter","Runs for 52.120 us",470813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,910,5,02 0F 91 B9 01 
128,0.018 849 240,"SysTick","xTaskIncrementTick","",471231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,915,5,DB 01 00 A2 03 
129,0.018 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",471756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,920,7,1C 03 DB 01 00 8D 04 
130,0.018 884 640,"SysTick","ISR Exit","Returns to Idle",472116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,927,3,03 E8 02 
131,0.019 832 520,"SysTick","ISR Enter","Runs for 52.120 us",495813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,930,5,02 0F 91 B9 01 
132,0.019 849 240,"SysTick","xTaskIncrementTick","",496231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,935,5,DB 01 00 A2 03 
133,0.019 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",496756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,940,7,1C 03 DB 01 00 8D 04 
134,0.019 884 640,"SysTick","ISR Exit","Returns to Idle",497116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,947,3,03 E8 02 
135,0.020 832 520,"SysTick","ISR Enter","Runs for 52.120 us",520813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,950,5,02 0F 91 B9 01 
136,0.020 849 240,"SysTick","xTaskIncrementTick","",521231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,955,5,DB 01 00 A2 03 
137,0.020 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",521756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,960,7,1C 03 DB 01 00 8D 04 
138,0.020 884 640,"SysTick","ISR Exit","Returns to Idle",522116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,967,3,03 E8 02 
139,0.021 832 520,"SysTick","ISR Enter","Runs for 52.120 us",545813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,970,5,02 0F 91 B9 01 
140,0.021 849 240,"SysTick","xTaskIncrementTick","",546231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,975,5,DB 01 00 A2 03 
141,0.021 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",546756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,980,7,1C 03 DB 01 00 8D 04 
142,0.021 884 640,"SysTick","ISR Exit","Returns to Idle",547116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,987,3,03 E8 02 
143,0.022 832 520,"SysTick","ISR Enter","Runs for 61.160 us",570813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,990,5,02 0F 91 B9 01 
144,0.022 858 280,"SysTick","xTaskIncrementTick","",571457,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,995,5,DB 01 00 84 05 
145,0.022 879 280,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",571982,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,1000,7,1C 03 DB 01 00 8D 04 
146,0.022 893 680,"SysTick","ISR Exit","Returns to Idle",572342,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,1007,3,03 E8 02 
147,0.023 832 520,"SysTick","ISR Enter","Runs for 52.120 us",595813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,1010,5,02 0F AF B7 01 
148,0.023 849 240,"SysTick","xTaskIncrementTick","",596231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,1015,5,DB 01 00 A2 03 
149,0.023 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",596756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,1020,7,1C 03 DB 01 00 8D 04 
150,0.023 884 640,"SysTick","ISR Exit","Returns to Idle",597116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,1027,3,03 E8 02 
151,0.024 832 520,"SysTick","ISR Enter","Runs for 52.120 us",620813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,1030,5,02 0F 91 B9 01 
152,0.024 849 240,"SysTick","xTaskIncrementTick","",621231,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,1035,5,DB 01 00 A2 03 
153,0.024 870 240,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",621756,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,1040,7,1C 03 DB 01 00 8D 04 
154,0.024 884 640,"SysTick","ISR Exit","Returns to Idle",622116,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,1047,3,03 E8 02 
155,0.025 832 520,"SysTick","ISR Enter","Runs for 52.120 us",645813,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,1050,5,02 0F 91 B9 01 
