sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,4,0A E9 81 05 
1,0.000 025 040,"Idle","Init","Cycle Freq.: 25000000, CPU Freq.: 25000000, ID Base: 0x10000000, ID Shift: 0",626,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,14,18,18 0E C0 F0 F5 0B C0 F0 F5 0B 80 80 80 80 01 00 F2 04 
2,0.000 093 000,"Idle","System Description","N=FreeRTOS Mak Application,D=Cortex-M4,O=FreeRTOS",2325,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,32,53,0E 31 4E 3D 46 72 65 65 52 54 4F 53 20 4D 61 6B 20 41 70 70 6C 69 63 61 74 69 6F 6E 2C 44 3D 43 6F 72 74 65 78 2D 4D 34 2C 4F 3D 46 72 65 65 52 54 4F 53 A3 0D 
3,0.000 128 560,"Idle","System Description","I#15=SysTick",3214,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,85,16,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B F9 06 
4,0.000 146 040,"Idle","xTaskGetTickCountFromISR","",3651,0x0000000000000000,0x0000000000000000,0x0000000000000000,210,101,5,D2 01 00 B5 03 
5,0.000 163 520,"Idle","xTaskGetTickCountFromISR","Returns 0 after 17.480 us",4088,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,106,7,1C 03 D2 01 00 B5 03 
6,0.000 181 240,"Idle","System Time (us)","0 us",4531,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,113,5,0D 00 00 BB 03 
7,0.000 224 840,"Idle","Task Info","Green Task (0x10000F88): Priority=3",5621,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,118,20,09 88 9F 80 80 01 03 0A 47 72 65 65 6E 20 54 61 73 6B C2 08 
8,0.000 248 720,"Idle","Stack Info","Green Task (0x10000F88): 1972 @ 0x20000780",6218,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,138,16,15 88 9F 80 80 01 80 8F 80 80 02 B4 0F 00 D5 04 
9,0.000 290 640,"Idle","Task Info","Red Task (0x100017F8): Priority=2",7266,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,154,18,09 F8 AF 80 80 01 02 08 52 65 64 20 54 61 73 6B 98 08 
10,0.000 314 160,"Idle","Stack Info","Red Task (0x100017F8): 1972 @ 0x20000FF0",7854,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,172,16,15 F8 AF 80 80 01 F0 9F 80 80 02 B4 0F 00 CC 04 
11,0.000 355 080,"Idle","Task Info","Tmr Svc (0x10000408): Priority=6",8877,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,188,17,09 88 88 80 80 01 06 07 54 6D 72 20 53 76 63 FF 07 
12,0.000 378 480,"Idle","Stack Info","Tmr Svc (0x10000408): 436 @ 0x20000468",9462,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,205,16,15 88 88 80 80 01 E8 88 80 80 02 B4 03 00 C9 04 
13,0.000 396 040,"Idle","Num Modules","Registered Modules: 0",9901,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,221,5,1B 01 00 B7 03 
14,0.000 413 640,"Idle","xQueueGenericCreate","uxQueueLength = 1, uxItemSize = 0, ucQueueType = 3",10341,0x0000000000000000,0x0000000000000000,0x0000000000000000,152,226,8,98 01 03 01 00 03 B8 03 
15,0.000 430 240,"Idle","vTaskSuspendAll","",10756,0x0000000000000000,0x0000000000000000,0x0000000000000000,207,234,5,CF 01 00 9F 03 
16,0.000 445 280,"Idle","vTaskSuspendAll","Returns after 15.040 us",11132,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,239,6,1C 02 CF 01 F8 02 
17,0.000 467 480,"Idle","xTaskResumeAll","",11687,0x0000000000000000,0x0000000000000000,0x0000000000000000,208,245,5,D0 01 00 AB 04 
18,0.000 489 480,"Idle","xTaskResumeAll","Returns 0 after 22.000 us",12237,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,250,7,1C 03 D0 01 00 A6 04 
19,0.000 513 760,"Idle","xQueueGenericReset","xQueue = 0x10001860, xNewQueue = 1",12844,0x0000000000000000,0x0000000000000000,0x0000000000000000,150,257,11,96 01 06 E0 B0 80 80 01 01 DF 04 
20,0.000 539 640,"Idle","vListInitialise","pxList = 0x10001870",13491,0x0000000000000000,0x0000000000000000,0x0000000000000000,281,268,10,99 02 05 F0 B0 80 80 01 87 05 
21,0.000 556 400,"Idle","vListInitialise","Returns after 16.760 us",13910,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,278,6,1C 02 99 02 A3 03 
22,0.000 576 200,"Idle","vListInitialise","pxList = 0x10001884",14405,0x0000000000000000,0x0000000000000000,0x0000000000000000,281,284,10,99 02 05 84 B1 80 80 01 EF 03 
23,0.000 592 960,"Idle","vListInitialise","Returns after 16.760 us",14824,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,294,6,1C 02 99 02 A3 03 
24,0.000 611 320,"Idle","xQueueGenericReset","Returns 1 after 97.560 us",15283,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,300,7,1C 03 96 01 01 CB 03 
25,0.000 632 800,"Idle","xQueueGenericCreate","Returns 0x10001860 after 219.160 us",15820,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,307,11,1C 07 98 01 E0 B0 80 80 01 99 04 
26,0.000 652 040,"Idle","vTaskDelay","xTicksToDelay = 100",16301,0x0000000000000000,0x0000000000000000,0x0000000000000000,197,318,6,C5 01 01 64 E1 03 
27,0.000 665 840,"Idle","vTaskSuspendAll","",16646,0x0000000000000000,0x0000000000000000,0x0000000000000000,207,324,5,CF 01 00 D9 02 
28,0.000 680 880,"Idle","vTaskSuspendAll","Returns after 15.040 us",17022,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,329,6,1C 02 CF 01 F8 02 
29,0.000 702 280,"Idle","uxListRemove","pxItemToRemove = 0x10000F8C",17557,0x0000000000000000,0x0000000000000000,0x0000000000000000,285,335,10,9D 02 05 8C 9F 80 80 01 97 04 
30,0.000 720 800,"Idle","uxListRemove","Returns 0 after 18.520 us",18020,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,345,7,1C 03 9D 02 00 CF 03 
31,0.000 740 200,"Idle","Task Block","Green Task, Delayed",18505,0x0000000000000000,0x0000000000000000,0x0000000000000000,7,352,9,07 88 9F 80 80 01 04 E5 03 
32,0.000 774 920,"Idle","vListInsert","pxList = 0x1000010C, pxNewListItem = 0x10000F8C",19373,0x0000000000000000,0x0000000000000000,0x0000000000000000,284,361,15,9C 02 0A 8C 82 80 80 01 8C 9F 80 80 01 E4 06 
33,0.000 793 560,"Idle","vListInsert","Returns after 18.640 us",19839,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,376,6,1C 02 9C 02 D2 03 
34,0.000 808 720,"Idle","xTaskResumeAll","",20218,0x0000000000000000,0x0000000000000000,0x0000000000000000,208,382,5,D0 01 00 FB 02 
35,0.000 830 720,"Idle","xTaskResumeAll","Returns 0 after 22.000 us",20768,0x0000000000000000,0x0000000000000000,0x0000000000000000,28,387,7,1C 03 D0 01 00 A6 04 
36,0.000 845 640,"SysTick","ISR Enter","Runs for 50.880 us",21141,0x0000000000000000,0x000000010000000F,0x000000010000000F,2,394,4,02 0F F5 02 
37,0.000 861 120,"SysTick","xTaskIncrementTick","",21528,0x000000010000000F,0x000000010000000F,0x000000010000000F,219,398,5,DB 01 00 83 03 
38,0.000 882 120,"SysTick","xTaskIncrementTick","Returns 0 after 21.000 us",22053,0x000000010000000F,0x000000010000000F,0x000000010000000F,28,403,7,1C 03 DB 01 00 8D 04 
39,0.000 896 520,"SysTick","ISR Exit","Returns to Idle",22413,0x000000010000000F,0x000000010000000F,0x0000000000000000,3,410,3,03 E8 02 
40,0.000 925 080,"Red Task","Task Run","Runs for 384.080 us",23127,0x0000000000000000,0x00000008100017F8,0x00000008100017F8,4,413,8,04 F8 AF 80 80 01 CA 05 
41,0.000 952 920,"Red Task","xQueueSemaphoreTake","xQueue = 0x10001860, xTicksToWait = 4294967295",23823,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,165,421,15,A5 01 0A E0 B0 80 80 01 FF FF FF FF 0F B8 05 
42,0.000 968 760,"Red Task","xTaskGetSchedulerState","",24219,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,245,436,5,F5 01 00 8C 03 
43,0.000 985 280,"Red Task","xTaskGetSchedulerState","Returns 2 after 16.520 us",24632,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,441,7,1C 03 F5 01 02 9D 03 
44,0.001 008 400,"Red Task","vTaskInternalSetTimeOutState","pxTimeOut = 0x100017A0",25210,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,231,448,10,E7 01 05 A0 AF 80 80 01 C2 04 
45,0.001 024 480,"Red Task","vTaskInternalSetTimeOutState","Returns after 16.080 us",25612,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,458,6,1C 02 E7 01 92 03 
46,0.001 040 320,"Red Task","vTaskSuspendAll","",26008,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,207,464,5,CF 01 00 8C 03 
47,0.001 055 360,"Red Task","vTaskSuspendAll","Returns after 15.040 us",26384,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,469,6,1C 02 CF 01 F8 02 
48,0.001 084 920,"Red Task","xTaskCheckForTimeOut","pxTimeOut = 0x100017A0, pxTicksToWait = 0x10001798",27123,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,232,475,15,E8 01 0A A0 AF 80 80 01 98 AF 80 80 01 E3 05 
49,0.001 107 520,"Red Task","xTaskCheckForTimeOut","Returns 0x0 after 22.600 us",27688,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,490,7,1C 03 E8 01 00 B5 04 
50,0.001 137 520,"Red Task","vTaskPlaceOnEventList","pxEventList = 0x10001884, xTicksToWait = 4294967295",28438,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,225,497,15,E1 01 0A 84 B1 80 80 01 FF FF FF FF 0F EE 05 
51,0.001 164 480,"Red Task","vListInsert","pxList = 0x10001884, pxNewListItem = 0x10001810",29112,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,284,512,15,9C 02 0A 84 B1 80 80 01 90 B0 80 80 01 A2 05 
52,0.001 183 120,"Red Task","vListInsert","Returns after 18.640 us",29578,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,527,6,1C 02 9C 02 D2 03 
53,0.001 204 400,"Red Task","uxListRemove","pxItemToRemove = 0x100017FC",30110,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,285,533,10,9D 02 05 FC AF 80 80 01 94 04 
54,0.001 222 920,"Red Task","uxListRemove","Returns 0 after 18.520 us",30573,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,543,7,1C 03 9D 02 00 CF 03 
55,0.001 241 560,"Red Task","vTaskPlaceOnEventList","Returns after 104.040 us",31039,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,550,6,1C 02 E1 01 D2 03 
56,0.001 265 200,"Red Task","xTaskResumeAll","",31630,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,208,556,5,D0 01 00 CF 04 
57,0.001 287 240,"Red Task","xTaskResumeAll","Returns 0 after 22.040 us",32181,0x00000008100017F8,0x00000008100017F8,0x00000008100017F8,28,561,7,1C 03 D0 01 00 A7 04 
